#TYPE System.Management.Automation.PSCustomObject
"DisplayName","InstallLocation","InstallSource","LocalPackage","PsPath","InstallPropertiesPsPath","Patches","PatchPSPath"
"Microsoft Office OSM MUI (German) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E1-0407-0000-0000000FF1CE}-C\","C:\Windows\Installer\89072574.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0070400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0070400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0070400000000000F01FEC\Patches"
"Microsoft Office OSM MUI (English) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E1-0409-0000-0000000FF1CE}-C\","C:\Windows\Installer\793a8df.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0090400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0090400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0090400000000000F01FEC\Patches"
"Microsoft Office OSM MUI (Spanish) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E1-0C0A-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb1783.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E00A0C00000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E00A0C00000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E00A0C00000000000F01FEC\Patches"
"Microsoft Office OSM MUI (French) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E1-040C-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb1703.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E00C0400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E00C0400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E00C0400000000000F01FEC\Patches"
"Microsoft Office Standard 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0012-0000-0000-0000000FF1CE}-C\","C:\Windows\Installer\793a8fe.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109210000000000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109210000000000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109210000000000000000F01FEC\Patches"
"Microsoft Office OSM UX MUI (Italian) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E2-0410-0000-0000000FF1CE}-C\","C:\Windows\Installer\79e2ffe.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0001400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0001400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0001400000000000F01FEC\Patches"
"Microsoft Office OSM UX MUI (Czech) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E2-0405-0000-0000000FF1CE}-C\","C:\Windows\Installer\890725cb.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0050400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0050400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0050400000000000F01FEC\Patches"
"Microsoft Office OSM UX MUI (German) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E2-0407-0000-0000000FF1CE}-C\","C:\Windows\Installer\8907257e.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0070400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0070400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0070400000000000F01FEC\Patches"
"Microsoft Office OSM UX MUI (English) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E2-0409-0000-0000000FF1CE}-C\","C:\Windows\Installer\793a8c1.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0090400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0090400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0090400000000000F01FEC\Patches"
"Microsoft Office OSM UX MUI (Spanish) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-00E2-0C0A-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb1788.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E00A0C00000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E00A0C00000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E00A0C00000000000F01FEC\Patches"
