#TYPE System.Management.Automation.PSCustomObject
"Name","LocalPackage"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\18337E8B1B905984CA0D4383B5F025D6","@{LocalPackage=C:\Windows\Installer\811d080.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1846606564DF54947B39BD020E80AAB1","@{LocalPackage=C:\Windows\Installer\2a265b47.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\189D145AF754D564291E3F68495989B3","@{LocalPackage=C:\Windows\Installer\955ab4e4.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\18BED765642DD14458794ABC0EDAEF9C","@{LocalPackage=C:\Windows\Installer\469b2842.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\18D683E61D2776B499A80094DF1CC7DC","@{LocalPackage=C:\Windows\Installer\8b009921.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\18E1897E5B545C64DBD14DB20F1754B0","@{LocalPackage=C:\Windows\Installer\8fad9811.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1904D16A9725A2E4CABB82320C879FBB","@{LocalPackage=C:\Windows\Installer\8fad9589.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\19A002D0B74152249AECE635B0ABBB22","@{LocalPackage=C:\Windows\Installer\238712df.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1A0C4AFF35F729B48936DCF742E048CC","@{LocalPackage=C:\Windows\Installer\90867802.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1A3CF8DECAA3D34448C97B2BA37F3941","@{LocalPackage=C:\Windows\Installer\8fdfa7f5.msp}"
